part name,symbol,size (imp),max current,unit price,units per build,units in stock,order total,Manufacturer ID,source url,MacroFab HP,datasheet,datasheet2,,
STM32F303,U2,LQFP-100,160mA,$8.66,1,3,$8.66,STM32F303VCT6-,http://www.digikey.com/product-detail/en/STM32F303VCT6/497-13233-ND/3598127,http://www.mouser.com/ProductDetail/STMicroelectronics/STM32F303VCT6/?qs=sGAEpiMZZMts0YcPTleK%252bY8J3feZ8Cu%2f,N,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00058181.pdf,Total Price,$22.99
8mhz crystal resonator,Y1,2-SMD,,$0.68,1,1,$0.68,ABM7-8.000MHZ-D2Y-T,http://www.digikey.com/product-detail/en/ABM7-8.000MHZ-D2Y-T/535-9831-1-ND/2001454,,N,http://www.abracon.com/Resonators/abm7.pdf,,
Power OR Diode,D4,,500mA,$0.49,1,6,$0.49,"PMEG2005CT,215","http://www.digikey.com/product-detail/en/PMEG2005CT,215/568-6500-1-ND/2531787",http://www.mouser.com/ProductDetail/NXP/PMEG2005CT215/?qs=%2fha2pyFadujeRJ0LUdYAUQ7GGmCJoX%2fQtruQCVwS66am9yCVxfsS9g%3d%3d,N,http://www.nxp.com/documents/data_sheet/PMEG2005CT.pdf,,
3.3v regulator,U3,SOT23-5,0.3A,$0.49,1,8,$0.49,TLV70233DBVR,http://www.digikey.com/product-detail/en/TLV70233DBVR/296-32415-1-ND/3505572,http://www.mouser.com/ProductDetail/Texas-Instruments/TLV70233DBVR/?qs=sGAEpiMZZMu%2feW%252ba9Wiy7YTpE8hEJFai,MF-REG-SOT235-3.3V-300mA,http://www.ti.com/lit/ds/symlink/tlv702.pdf,,
80 pin receptacle (3.5mm),P4,,0.3A a pin,$2.42,1,1,$2.42,DF40HC(3.5)-80DS-0.4V(51),http://www.digikey.com/product-detail/en/DF40HC(3.5)-80DS-0.4V(51)/H11997CT-ND/2880228,http://www.mouser.com/ProductDetail/Hirose-Electric/DF40HC35-80DS-04V51/?qs=%2fha2pyFadujW%252bY6IJZsm3i%252bZk1u9G3%2fdzyTp9hsWDAQx4UikYGEUzoQ%2fojMx6wax,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,
20pin hirose header,P5,,0.3A a pin,$0.79,1,7,$0.79,DF40C-20DP-0.4V(51),http://www.digikey.com/product-detail/en/DF40C-20DP-0.4V(51)/H11618CT-ND/1969498,http://www.mouser.com/ProductDetail/Hirose-Electric/DF40C-20DP-04V51/?qs=%2fha2pyFaduhiSSN%252bSZz6oliFsf7auR3i7r%2fNFqSJXepWG2vn20539gIzc9xmCqeD,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,
reset- side switch,SW1,EVQ-P7A,,$0.69,1,7,$0.69,EVQ-P7A01P,http://www.digikey.com/product-detail/en/EVQ-P7A01P/P16763CT-ND/4429456,http://www.mouser.com/ProductDetail/Panasonic/EVQ-P7A01P/?qs=%2fha2pyFadui1eRMhiBGh5b95CZR4xrSQCcoG3vI4ncMk%2f%2f%252btyow6ew%3d%3d,N,"http://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVQP(7,3,9P7).pdf",,
red led,"D1,D5",,,$0.19,2,71,$0.37,LTST-C190KRKT,http://www.digikey.com/product-detail/en/LTST-C190KRKT/160-1436-1-ND/386816,,MF-LED-0603-RED,http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/S_110_LTST-C190KRKT.pdf,,
green led,D2,,,$0.19,1,83,$0.19,LTST-C190KGKT,http://www.digikey.com/product-detail/en/LTST-C190KGKT/160-1435-1-ND/386814,,Y,http://optoelectronics.liteon.com/upload/download/DS22-2000-074/S_110_LTST-C190KGKT.pdf,,
yellow led,D3,,,$0.20,1,87,$0.20,LTST-C190KSKT,http://www.digikey.com/product-detail/en/LTST-C190KSKT/160-1437-1-ND/386818,,N,http://optoelectronics.liteon.com/upload/download/DS-22-99-0189/S_110_LTST-C190KSKT.pdf,,
